parameter_name,B cell percentage
analysis_id,91736o2t0udz337
pvalue,0.5703454
parameter_id,MGP_PBI_014_001
gene_symbol,Tnni1
mouse_strain,C57BL
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
