parameter_name,Periphery average speed
pvalue,0.8214818
gene_accession_id,MGI:2385884
analysis_id,pz884342cs8mww7
mouse_life_stage,Early adult
gene_symbol,Ddx27
parameter_id,HRWLLA_OFD_013_001
mouse_strain,129SV
