gene_symbol,S100a3
mouse_strain,C57BL
gene_accession_id,MGI:1338849
pvalue,0.5229278
mouse_life_stage,Early adult
analysis_id,1il4q6690292ne6
parameter_name,ST
parameter_id,IMPC_ECG_008_001
