parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913105
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,76l566z8hhuf79o
pvalue,0.6194126
gene_symbol,Slc28a2
