parameter_name,Hindlimb nail - number
gene_accession_id,MGI:99501
mouse_strain,C57BL
parameter_id,IMPC_CSD_051_002
analysis_id,bycq211j5679r1c
pvalue,0.4611038
gene_symbol,Fgb
mouse_life_stage,E15.5
