mouse_strain,129SV
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
pvalue,0.9584243
gene_symbol,Inpp1
parameter_name,Total T cell percentage
parameter_id,MGP_PBI_001_001
analysis_id,185k6npgf1t455e
