parameter_name,Monocytes
parameter_id,IMPC_IMM_051_001
mouse_life_stage,Early adult
analysis_id,nxekcje6gv90zv0
gene_accession_id,MGI:1918345
mouse_strain,C57BL
pvalue,0.09312266
gene_symbol,Kif24
