Gene_symbol,Lurap1
Mouse_life_stage,Early adult
Parameter_id,JAX_LDT_004_001
mouse_strain,C57BL
Gene_accession_id,MGI:1915325
Parameter_name,Dark side time spent
Analysis_id,42801j2b9qx3ers
Pvalue,0.3922263
