parameter_name,Eosinophil percentage
gene_symbol,Atrn
parameter_id,MGP_PBI_020_001
pvalue,0.235731
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ah9513k5230jt2n
gene_accession_id,MGI:1341628
