analysis_id,rs14603e858pfoo
parameter_id,MGP_PBI_001_001
gene_symbol,Opn3
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3400217
parameter_name,Total T cell percentage
gene_accession_id,MGI:1338022
