parameter_name,Facial Morphology
mouse_life_stage,E9.5
parameter_id,IMPC_GEP_017_001
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
analysis_id,7oq003vl2cit85o
pvalue,0.8144964
mouse_strain,C57BL
