analysis_id,1x2d47y845l25tc
gene_accession_id,MGI:1916363
parameter_id,IMPC_GEL_063_001
mouse_life_stage,Early adult
pvalue,0.4761353
parameter_name,Delayed embryonic development
gene_symbol,Alkbh3
mouse_strain,C57BL
