gene_symbol,Sla2
mouse_life_stage,Early adult
pvalue,0.3750708
mouse_strain,C57BL
parameter_name,Whole arena resting time
gene_accession_id,MGI:1925049
analysis_id,q4216k87ado7825
parameter_id,ESLIM_007_001_003
