parameter_id,IMPC_DXA_005_001
gene_symbol,Cds2
mouse_life_stage,Early adult
analysis_id,h5383a56vngrp28
parameter_name,Bone Mineral Content (excluding skull)
mouse_strain,129SV
pvalue,0.5550904
gene_accession_id,MGI:1332236
