parameter_id,IMPC_FEA_003_001
analysis_id,uihu58uk76402v4
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
parameter_name,Conditioning Baseline % Freezing Time
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5076781
