parameter_name,PQ
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_strain,C57BL
analysis_id,e911b119qi0y8z9
mouse_life_stage,E12.5
parameter_id,IMPC_ECG_005_001
pvalue,0.9543474
