analysis_id,23zwi4527b57cw2
mouse_life_stage,Early adult
parameter_id,JAX_LDT_005_001
pvalue,0.7940821
mouse_strain,C57BL
parameter_name,Time mobile dark side
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
