parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
pvalue,0.2633379
parameter_name,Tremor
analysis_id,2m2dp71e1h72c56
mouse_life_stage,E12.5
gene_symbol,Eprs1
gene_accession_id,MGI:97838
