parameter_name,LVIDd
gene_symbol,Exd1
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
pvalue,0.4553567
analysis_id,1kizps77022786n
parameter_id,IMPC_ECH_008_001
mouse_strain,C57BL
