pvalue,0.5084402
mouse_life_stage,Early adult
parameter_name,Gait
parameter_id,IMPC_CSD_033_001
gene_symbol,Zyg11b
mouse_strain,C57BL
gene_accession_id,MGI:2685277
analysis_id,m5mdxl779tlfd69
