mouse_life_stage,Early adult
parameter_id,MGP_IMM_015_001
gene_accession_id,MGI:1914256
pvalue,0.8533322
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Cisd2
mouse_strain,C57BL
analysis_id,94z60nxu0iw8m55
