parameter_name,Stroke Volume
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_id,IMPC_ECH_003_001
gene_symbol,AU040320
mouse_life_stage,Early adult
analysis_id,3456j3dp57g7p37
pvalue,0.4033133
