analysis_id,mnnm34h01027732
parameter_id,JAX_LDT_003_001
gene_accession_id,MGI:1915678
mouse_strain,C57BL
gene_symbol,Steap3
mouse_life_stage,Early adult
parameter_name,Time mobile light side
pvalue,0.4998915
