parameter_name,Center distance travelled
parameter_id,JAX_OFD_014_001
mouse_strain,C57BL
gene_symbol,Slc30a4
analysis_id,n62t926f3i71661
mouse_life_stage,Middle aged adult
pvalue,0.0662465
gene_accession_id,MGI:1345282
