parameter_name,Thyroxine
pvalue,0.5421213
parameter_id,IMPC_CBC_053_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
mouse_strain,C57BL
analysis_id,s055f028y51u33f
gene_symbol,Maco1
