gene_symbol,Exd1
mouse_life_stage,Early adult
parameter_id,MGP_IMM_007_001
gene_accession_id,MGI:3045306
analysis_id,s2gh02i0nnh4ns7
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.8823706
mouse_strain,C57BL
