analysis_id,2000qt1kl373564
parameter_id,IMPC_GEL_017_002
gene_accession_id,MGI:2446274
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,Pale yolk sac
gene_symbol,Frmpd1
pvalue,0.2191219
