analysis_id,c05u44k5nn4ow58
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
pvalue,0.4658033
parameter_name,Lumbar processes
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
