analysis_id,9lmxor69v8v1so7
parameter_id,IMPC_XRY_022_001
gene_symbol,Frmpd1
mouse_life_stage,Middle aged adult
parameter_name,Radius
pvalue,0.2141477
gene_accession_id,MGI:2446274
mouse_strain,C57BL
