gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
parameter_name,Distance travelled - total
mouse_strain,C57BL
analysis_id,754wp2n5r4ok1o5
pvalue,0.496992
parameter_id,JAXLA_OFD_020_001
mouse_life_stage,Early adult
