parameter_name,Right total retinal thickness
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
pvalue,0.8032274
mouse_life_stage,Early adult
analysis_id,4c092p4214ba0cf
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
