analysis_id,n72rp0l2i57b362
parameter_name,Response amplitude - S
parameter_id,IMPC_ACS_006_001
gene_symbol,Kcng1
mouse_life_stage,Early adult
pvalue,0.6638222
gene_accession_id,MGI:3616086
mouse_strain,C57BL
