parameter_name,HR
gene_accession_id,MGI:1915678
pvalue,0.6609107
parameter_id,JAXLA_ECG_002_001
gene_symbol,Steap3
mouse_life_stage,Early adult
analysis_id,n4i034526z33289
mouse_strain,C57BL
