parameter_id,MGP_MLN_006_001
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,TIPRL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,316x6a8wn85h481
gene_accession_id,MGI:1915087
pvalue,0.5021828
