gene_symbol,Ints7
mouse_strain,C57BL
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
analysis_id,252bm25k4k9w22w
pvalue,0.9069035
parameter_name,Startle response
parameter_id,HMGULA_SHI_009_001
