gene_symbol,Dmap1
mouse_life_stage,Early adult
parameter_name,PQ
pvalue,0.9484115
gene_accession_id,MGI:1913483
analysis_id,qe8ja7us819728l
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
