analysis_id,oeg3r9tzxk6hw6o
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
pvalue,0.5515143
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_006_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
