gene_symbol,Ddx27
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
analysis_id,n0929e6l458m2gj
parameter_id,IMPC_ACS_033_001
mouse_strain,129SV
parameter_name,% Pre-pulse inhibition - PPI1
pvalue,0.2838646
