parameter_name,Neutrophil cell count
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_030_001
analysis_id,r49q8d1890t7en9
pvalue,0.6054143
gene_accession_id,MGI:2444114
gene_symbol,Zcchc2
