parameter_name,Centre resting time
pvalue,0.5091679
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
mouse_strain,C58BL
parameter_id,ESLIM_007_001_011
mouse_life_stage,Early adult
analysis_id,7hv5w385k5b3yp0
