parameter_name,Limb coat/hair presence
gene_symbol,Dcaf12
mouse_strain,C57BL
analysis_id,08946o2uw792g8k
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
pvalue,0.6892148
