parameter_id,IMPC_ECH_018_001
parameter_name,Respiration Rate
mouse_strain,C57BL
gene_symbol,Tnfsf8
pvalue,0.6865152
mouse_life_stage,Early adult
analysis_id,6k037kx9eg0017x
gene_accession_id,MGI:88328
