parameter_name,Neutrophil differential count
gene_accession_id,MGI:109384
parameter_id,IMPC_HEM_029_001
pvalue,0.4186547
analysis_id,z8228p115d5d929
mouse_life_stage,Early adult
gene_symbol,ATF3
mouse_strain,C57BL
