analysis_id,bju0ga0ex3pz256
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
gene_accession_id,MGI:891989
pvalue,0.4381103
mouse_life_stage,Early adult
gene_symbol,Npbwr1
parameter_id,MGP_IMM_022_001
