gene_symbol,Sass6
mouse_life_stage,E9.5
parameter_name,Distance travelled - total
pvalue,0.4976015
analysis_id,ann9a7211ow0f1a
mouse_strain,C57BL
gene_accession_id,MGI:1920026
parameter_id,HRWLLA_OFD_020_001
