analysis_id,9u23vgjui982qjx
gene_accession_id,MGI:1920638
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4733213
parameter_id,CCP_XRY_001_001
gene_symbol,Bpifa3
parameter_name,Skull shape
