analysis_id,ppx995829621927
gene_symbol,Pum1
parameter_name,MZB (CD21/35 high)
pvalue,0.6089406
mouse_strain,C57BL
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_071_001
