gene_symbol,Ivd
analysis_id,k28rc0jr687z241
gene_accession_id,MGI:1929242
pvalue,0.6639718
mouse_life_stage,Early adult
parameter_name,Fat/Body weight
parameter_id,IMPC_DXA_009_001
mouse_strain,C57BL
