parameter_name,Clavicle
gene_symbol,Wars2
parameter_id,IMPC_XRY_007_001
mouse_life_stage,E9.5
pvalue,0.7207311
gene_accession_id,MGI:1917810
mouse_strain,C57BL
analysis_id,3x80611235obs6d
