parameter_id,IMPC_GEL_017_002
parameter_name,Pale yolk sac
mouse_life_stage,Early adult
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
analysis_id,ngou2v4l42s6g8z
mouse_strain,C57BL
pvalue,0.8779059
