analysis_id,v66zo3ag5az3268
mouse_strain,C57BL
parameter_id,IMPC_ECH_001_001
mouse_life_stage,Early adult
parameter_name,End-Systolic Diameter
gene_symbol,Npbwr1
pvalue,0.19329
gene_accession_id,MGI:891989
