parameter_name,Spleen weight
gene_accession_id,MGI:2442483
gene_symbol,Usp37
pvalue,0.2760778
mouse_strain,C57BL
parameter_id,UCD_OWT_003_001
analysis_id,7x56o3e683io4iu
mouse_life_stage,Early adult
