analysis_id,cnh4sk8r569229i
gene_accession_id,MGI:2446274
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Late adult
pvalue,0.4462418
gene_symbol,Frmpd1
parameter_id,MGP_MLN_006_001
mouse_strain,C57BL
