parameter_name,Weight
pvalue,0.8194379
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:95835
analysis_id,12960t4451mp41r
gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,E12.5
