analysis_id,n4l98hlw5v3e5v7
mouse_strain,C57BL
pvalue,0.9530552
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
gene_symbol,Npbwr1
