analysis_id,02595ttd3a56349
parameter_name,Bone Area
pvalue,0.6467437
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_010_001
gene_symbol,Arnt
mouse_strain,C57BL
gene_accession_id,MGI:88071
