analysis_id,v1p02c7w5t9x3l8
parameter_name,Plasmacytoid DC - % of DC
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.587377
parameter_id,MGP_MLN_058_001
mouse_life_stage,Early adult
