mouse_strain,B6J
gene_symbol,Nr0b2
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_id,IMPC_GRS_008_001
parameter_name,Forelimb grip strength measurement mean
pvalue,0.5908162
analysis_id,c11544hfnf23554
