mouse_strain,C57BL
parameter_id,MGP_PBI_008_001
gene_symbol,Atg4c
pvalue,0.9186142
analysis_id,jnp91x4vahu5y6i
parameter_name,CD4+ CD25+ alpha beta regulatory T cell percentage
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
