parameter_name,Eye
parameter_id,M-G-P_014_001_001
gene_accession_id,MGI:2446186
pvalue,0.09475106
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
analysis_id,l0u4yz1httr06s7
mouse_strain,C57BL
