parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
gene_symbol,Trim46
pvalue,0.9426631
mouse_strain,C57BL
analysis_id,7d771s50mm4g546
