gene_symbol,Dhdds
pvalue,0.4215369
mouse_life_stage,Early adult
analysis_id,0n0zb4fx54752w0
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength measurement mean
parameter_id,IMPC_GRS_009_001
