analysis_id,21748qr6z95kqo0
pvalue,0.710672
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:1914556
