analysis_id,4h15fc4hq80g341
gene_symbol,Psd4
pvalue,0.8574302
mouse_strain,C57BL
parameter_id,MGP_PBI_014_001
parameter_name,B cell percentage
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
